gene	avg_log2FC	p_val_adj	Vertex_weight
MTOR	0.53752205306845	1	0.53752205306845
MYC	-37.033234931649	7.20649221050549e-10	-37.033234931649
MYD88	-8.82958048037482	0.000336812676757468	-8.82958048037482
NCF1	16.6333100890675	1.36564982611525e-37	16.6333100890675
NCF2	42.617866571851	3.34921555916891e-150	42.617866571851
NCF4	1.67021434909386	2.72475090986911e-16	1.67021434909386
NFATC1	13.4537847979079	1	13.4537847979079
NFATC2	-2.53062858595004	1	-2.53062858595004
NFKB1	-0.339303675079845	1	-0.339303675079845
NFKB2	0	1	0
NFKBIA	-34.8968680517083	4.58536565644734e-53	-34.8968680517083
NFKBIE	0.998949850814778	1	0.998949850814778
PAK1	1.54730794318462	3.88697338543201e-09	1.54730794318462
PAK4	0.475534914225157	1	0.475534914225157
PDHB	-5.06862633778165	1	-5.06862633778165
PDK1	-1.99740812359492	1	-1.99740812359492
PIK3CD	0.28937473802653	1	0.28937473802653
PIK3R1	-36.3694896314795	1	-36.3694896314795
PIK3R2	-0.329049857580672	1	-0.329049857580672
PIK3R5	0.738131213391314	1	0.738131213391314
PLCB1	1.38324941988077	1	1.38324941988077
PLCG2	0	1	0
PLXNB2	2.07140288791833	5.26197603494298e-09	2.07140288791833
PPP2CA	-56.017093944232	1	-56.017093944232
PREX1	0.451866639292136	1	0.451866639292136
PRKCD	11.9996067080401	7.85586033788534e-06	11.9996067080401
PRKCZ	-1.00412929779033	1	-1.00412929779033
PTGS2	3.25040662249332	0.289146107316593	3.25040662249332
PTK2B	0.401715659047508	1	0.401715659047508
PXN	0.424815581817726	1	0.424815581817726
RAC1	-15.1440564852218	8.4893697895332e-118	-15.1440564852218
RELB	-58.8081036226701	1	-58.8081036226701
RHOA	-23.7998316039843	2.90752698399162e-15	-23.7998316039843
ROCK1	-1.06451808126449	0.615282840097223	-1.06451808126449
ROCK2	1.02099507777245	1	1.02099507777245
RPS6	-77.1796373612539	3.75682105968278e-58	-77.1796373612539
RPS6KA4	1.60994031473076	0.000157251488751497	1.60994031473076
RPS6KA6	0	1	0
RPS6KB1	-0.915590054981093	1	-0.915590054981093
SEMA4C	1.09323959327487	1	1.09323959327487
SEMA4D	1.03916155628746	1	1.03916155628746
SHC2	0	1	0
SOS2	0.327496725775153	1	0.327496725775153
STAT1	-0.778639888731408	1	-0.778639888731408
STMN1	-44.0464873222172	0.00294235069685839	-44.0464873222172
TNF	0.635126428864221	1	0.635126428864221
TNF	-0.401284797745239	1	-0.401284797745239
TNFAIP3	-22.8903353515621	0.869160440653286	-22.8903353515621
TNFRSF1A	41.113067856744	5.51200792091677e-09	41.113067856744
TNFRSF1B	12.2131743930527	1.43549606851071e-12	12.2131743930527
TNFSF14	1.1888378470868	1	1.1888378470868
TP53	0.481687323977335	1	0.481687323977335
TRADD	-27.1336323931569	0.513983405727966	-27.1336323931569
TRAF1	-1.59891476103759	1	-1.59891476103759
TRAF2	-0.798803911298352	1	-0.798803911298352
TRAF6	-1.14718058002276	1	-1.14718058002276
VAV3	0.786471847444021	1	0.786471847444021
WAS	0.274587336497357	1	0.274587336497357
