Official Symbol Interactor A	Official Symbol Interactor B
UBE2K	RNF114
UBE2W	RNF114
UBE2H	BRAP
UBE2D1	LRSAM1
UBE2D2	LRSAM1
UBE2D3	LRSAM1
UBE2D4	LRSAM1
UBE2E1	LRSAM1
UBE2H	LRSAM1
UBE2N	LRSAM1
UBE2K	LRSAM1
UBE2W	LRSAM1
UEVLD	LRSAM1
UBE2E1	RNF11
UBE2L6	TRIM8
UBE2D1	AMFR
UBE2D2	AMFR
UBE2D3	AMFR
UBE2D4	AMFR
UBE2N	AMFR
UBE2D1	SIAH1
UBE2D2	SIAH1
UBE2D3	SIAH1
UBE2V2	SIAH1
UBE2D1	CHFR
UBE2D2	CHFR
UBE2D3	CHFR
UBE2D4	CHFR
UBE2E1	CHFR
UBE2E3	CHFR
UBE2N	CHFR
UBE2W	CHFR
UBE2E2	CHFR
UBE2D1	ARIH2
UBE2D2	ARIH2
UBE2D3	ARIH2
UBE2D4	ARIH2
UBE2E1	ARIH2
UBE2E3	ARIH2
UBE2V1	ARIH2
UBE2R2	ARIH2
UBE2H	CBLC
UBE2I	CBLC
UBE2L3	CBLC
UBE2L6	CBLC
UBE2K	CBLC
UBE2R2	CBLC
UBE2H	DTX3L
UBE2I	DTX3L
UBE2K	DTX3L
UBE2R2	DTX3L
UBE2E1	DZIP3
UBE2I	DZIP3
UBE2V1	DZIP3
UBE2V2	DZIP3
UBE2K	DZIP3
UBE2R2	DZIP3
UBE2Z	DZIP3
UBE2U	DZIP3
UBE2I	RNF144B
UBE2T	RNF144B
UBE2U	RNF144B
UBE2I	LNX2
UBE2T	LNX2
UBE2I	MARCH5
UBE2N	MARCH5
UBE2W	MARCH5
AKTIP	MARCH5
UBE2T	MARCH5
UBE2D1	MGRN1
UBE2D2	MGRN1
UBE2D3	MGRN1
UBE2D4	MGRN1
UBE2E1	MGRN1
UBE2I	MGRN1
UBE2J2	MGRN1
UBE2W	MGRN1
UBE2T	MGRN1
UBE2E1	MID1
UBE2E3	MID1
UBE2L3	MID1
UBE2K	MID1
UBE2E2	MID1
UBE2D4	MKRN3
UBE2E1	MKRN3
UBE2E3	MKRN3
UBE2H	MKRN3
UBE2I	MKRN3
UBE2L3	MKRN3
UBE2V1	MKRN3
UBE2V2	MKRN3
UBE2K	MKRN3
UBE2W	MKRN3
UBE2E2	MKRN3
UBE2U	MKRN3
UBE2I	RC3H2
UBE2I	TRIM72
UBE2I	RNF128
UBE2T	RNF128
UBE2H	TRIM23
UBE2I	TRIM23
AKTIP	TRIM23
UBE2L3	TRIM39
UBE2V1	TRIM39
UBE2K	TRIM39
UBE2W	TRIM39
UBE2D1	TRIM55
UBE2D2	TRIM55
UBE2D3	TRIM55
UBE2F	RNF34
UBE2I	TRIM41
AKTIP	TRIM41
UBE2I	BMI1
UBE2U	PCGF6
UBE2I	PEX10
UBE2Z	RAPSN
UBE2A	TRIM27
UBE2D4	TRIM27
UBE2I	TRIM27
UBE2L6	TRIM27
UBE2J1	TRIM27
UBE2W	TRIM27
UBE2Z	TRIM27
UBE2O	TRIM27
UBE2U	TRIM27
UBE2D1	RFWD3
UBE2D4	RFWD3
UBE2E1	RFWD3
UBE2E3	RFWD3
UBE2N	RFWD3
UBE2W	RFWD3
UBE2H	RNF10
UBE2V1	RNF10
UBE2J2	RNF10
UBE2W	RNF10
UBE2E2	RNF10
UBE2U	RNF10
UBE2E1	RNF111
UBE2E3	RNF111
UBE2M	RNF111
UBE2V1	RNF111
UBE2K	RNF111
UBE2W	RNF111
UBE2E2	RNF111
UBE2Q2	RNF111
TSG101	RNF111
UBE2H	RNF113B
UBE2H	RNF133
UBE2I	RNF133
UBE2H	RNF139
UBE2H	RNF144A
UBE2V1	RNF144A
UBE2V2	RNF144A
UBE2K	RNF144A
UBE2H	RNF146
UBE2E3	RNF166
UBE2H	RNF166
UBE2E2	RNF166
UBE2Z	RNF166
UBE2E1	RNF185
UBE2H	RNF185
UBE2I	RNF185
UBE2V1	RNF185
UBE2W	RNF185
UBE2H	MARCH10
UBE2H	RNF2
UBE2V1	RNF2
UBE2V2	RNF2
UBE2W	RNF2
UBE2D1	RNF38
UBE2D2	RNF38
UBE2D3	RNF38
UBE2D4	RNF38
UBE2H	RNF38
UBE2H	RNF6
UBE2D1	RNF7
UBE2D2	RNF7
UBE2D4	RNF7
UBE2U	TRIM15
UBE2D1	TRIM17
UBE2D2	TRIM17
UBE2D3	TRIM17
UBE2D4	TRIM17
UBE2H	TRIM17
UBE2D1	TRIM2
UBE2D2	TRIM2
UBE2D3	TRIM2
UBE2D4	TRIM2
UBE2E1	TRIM2
UBE2E3	TRIM2
UBE2H	TRIM2
UBE2K	TRIM2
UBE2W	TRIM2
UBE2E2	TRIM2
UBE2D1	TRIM25
UBE2D2	TRIM25
UBE2D3	TRIM25
UBE2D4	TRIM25
UBE2N	TRIM25
UBE2J2	TRIM25
UBE2D1	TRIM26
UBE2D2	TRIM26
UBE2D3	TRIM26
UBE2D1	TRIM31
UBE2D2	TRIM31
UBE2D3	TRIM31
UBE2D4	TRIM31
UBE2K	TRIM31
UBE2W	TRIM31
UBE2V1	TRIM32
UBE2U	TRIM32
UBE2D1	TRIM35
UBE2D2	TRIM35
UBE2D3	TRIM35
UBE2D4	TRIM35
UBE2H	TRIM37
UBE2K	TRIM43
UBE2Z	TRIM46
UBE2U	TRIM46
TSG101	TRIM46
UBE2D1	TRIM5
UBE2D2	TRIM5
UBE2D3	TRIM5
UBE2D4	TRIM5
UBE2H	TRIM5
UBE2N	TRIM5
UBE2V1	TRIM5
UBE2V2	TRIM5
UBE2K	TRIM5
UBE2U	TRIM5
UBE2D4	RBCK1
UBE2S	RBCK1
UBE2K	RBCK1
PDLIM7	SMURF1
PDLIM7	SMURF1
SMURF1	PDLIM7
SMURF1	PDLIM7
SMURF1	SMAD1
VAPA	INSIG1
VAPB	INSIG1
UBC	PAIP2
PAIP2	UBR5
CDC25C	MAPK3
CDC25C	MAPK1
CDC25C	MAPK3
CDC25C	MAPK1
UBC	CDC25C
ELF4	UBC
SKP2	ELF4
UBC	ELF4
CREBBP	HIF1A
UBC	TP53
MDM2	TP53
TP53	UBC
PUM2	NANOS1
EN1	TLE1
JUN	UBC
ID1	GATA4
ID2	GATA4
ID3	GATA4
ID1	NKX2-5
ID2	NKX2-5
ID3	NKX2-5
ID1	GATA4
ID2	GATA4
ID3	GATA4
GATA4	ID2
GATA4	ID3
INSIG2	SCAP
INSIG2	UBC
CUL7	RBX1
RBX1	CUL7
TP53	CUL7
CUL7	TP53
TP53	CUL7
MDM2	TP53
TRAF6	MAP3K7
SOCS3	MAP3K7
SOCS3	TRAF6
RIPK1	UBC
RIPK1	MAP3K7
RIPK1	IKBKG
TP53	UBC
CUL4A	SKP2
CUL4A	CDKN1B
DDB1	SKP2
RAF1	CFLAR
CASR	RNF19A
CASR	UBC
VCP	CASR
VCP	RNF19A
YWHAG	MDM4
MDM4	YWHAG
YWHAG	MDM4
CHEK1	MDM4
SFN	MDM4
YWHAB	MDM4
YWHAE	MDM4
YWHAH	MDM4
UBC	MDM4
CTNNB1	TRRAP
CTNNB1	EP400
CTNNB1	MLL
CTNNB1	SMARCA5
CTNNB1	RUVBL1
CTNNB1	ASH2L
CTNNB1	MLL2
CTNNB1	MLL
CTNNB1	MEN1
CTNNB1	RBBP5
CTNNB1	TRRAP
CTNNB1	KAT2A
CTNNB1	SMARCA5
LEF1	CTNNB1
APC	CTNNB1
BIRC2	FBXO7
BIRC2	UBC
HIF1A	HSPA4
UBC	RAF1
RAF1	HSP90AA1
USP25	MT2A
USP25	GAPDH
USP25	MYBPC1
USP25	ACTA1
USP25	FLNC
USP25	MYBPC1
USP25	ACTA1
CYLD	TRPA1
TRPA1	UBC
RFWD2	HSPA8
RFWD2	HSPA6
RFWD2	HSPA2
RFWD2	CCT3
RFWD2	TCP1
RFWD2	CCT6A
RFWD2	CCT5
RFWD2	CCT8
RFWD2	CCT7
RFWD2	CCT4
RFWD2	CCT2
RFWD2	TCP1
RFWD2	TCP1
NR4A1	CHD4
NR4A1	TOP2A
NR4A1	PELP1
NR4A1	SMARCC1
NR4A1	MYBBP1A
NR4A1	MTA2
NR4A1	TRIM28
NR4A1	SMARCE1
NR4A1	TMOD3
NR4A1	EEF1A1
NR4A1	HDAC6
NR4A1	MTA2
NR4A1	PELP1
NR4A1	MYBBP1A
NR4A1	TRIM28
TRIM28	NR4A1
TRIM28	NR4A3
TCF3	DAXX
RAD21	SMC1A
CD4	UBC
UBC	EPS15
UBC	EPS15L1
UBC	EPN1
UBC	AP2A1
UBC	GGA3
CD4	EPS15
DOCK1	UBC
ELMO1	DOCK1
PAF1	POLR2A
BRCA1	BARD1
TRAF6	IRF8
MYD88	IRF7
TRAF6	UBC
SEC61B	SRP54
SEC61B	ASNA1
SEC61B	HSPA4
SEC61B	HSPA8
SEC61B	DNAJB1
SERP1	SRP54
SERP1	ASNA1
SERP1	HSPA4
SERP1	HSPA8
SERP1	DNAJB1
SERP1	BAT3
SEC61B	BAT3
SEC61B	SGTA
SERP1	SGTA
CDH1	CDC27
CDC20	CDC27
NUP98	PTTG1
RAE1	PTTG1
PTTG1	NUP98
PTTG1	CDC27
CCNB1	CDC27
PTTG1	CDH1
MDM2	UBC
MDM2	PYHIN1
PYHIN1	MDM2
CREBBP	CTNNB1
FANCL	FANCA
FANCL	FANCG
FANCL	FANCF
DDB2	CUL4A
DDB2	DDB1
DDB2	RBX1
DDB1	CUL4A
DDB1	DDB2
DDB1	RBX1
TRIM21	USP4
MAOA	UBC
MAOB	UBC
NEDD4	PDCD6IP
PDCD6IP	NEDD4
DAZAP2	TCF7L2
DAZAP2	TCF7L2
DAZAP2	TCF7L2
DAZAP2	CTNNB1
TCF7L2	CTNNB1
DAZAP2	LEF1
DAZAP2	TCF7
DAZAP2	TCF7L1
TCF7L2	DAZAP2
LEF1	DAZAP2
TCF7	DAZAP2
TCF7L1	DAZAP2
EIF4E	EIF4G1
EIF4E	UBC
EIF4E	STUB1
STAMBP	CLTC
STAMBPL1	CLTC
CLTC	HGS
CLTC	STAM
STAMBP	CLTC
STAMBPL1	CLTC
PARK2	UBC
PARK2	HSPA4
PARK2	TUBA1A
PARK2	TUBG1
PARK2	SEPT5
PARK2	AIMP2
PARK2	PSMA4
PARK2	SNCA
PARK2	PARK2
STUB1	STUB1
MDM2	MDM2
BMI1	RNF2
BMI1	HIST2H2AC
SRR	GOLGA3
FOS	JUN
SRR	GOLGA3
SRR	UBC
TCF4	UBC
RNF138	TCF4
UBC	DDB2
RNF19B	UBE2L3
RNF19B	UBE2L6
RNF19B	BTG4
RNF19B	BTG4
BTG4	UBC
EVI5	FBXO5
EVI5	FBXO5
FBXO5	EVI5
INSR	UBC
RNF144B	UBE2L6
RNF144B	UBE2L3
ESR1	MUC1
MUC1	ESR1
CNTN2	CHUK
CNTN2	IKBKB
CNTN2	IKBKG
CNTN2	SUMO1
CNTN2	SUMO2
CNTN2	SUMO3
CNTN2	UBC
BANP	TP53
BANP	MDM2
BANP	MDM2
BANP	TP53
BANP	TP53
MDM2	TP53
EP300	RECQL4
EP300	RECQL4
EP300	RECQL4
EP300	BTRC
EP300	FBXW2
EP300	FBXW8
EP300	PARK2
DNMT1	SETD7
SETD7	DNMT1
SETD7	DNMT1
HIF1A	SEPT9
SEPT9	HIF1A
HIF1A	UBC
XRCC4	UBC
CBL	ARHGEF7
ARHGEF7	CBL
PAK1	SH3KBP1
CBL	SH3KBP1
ARHGEF7	CBL
ARHGEF7	PAK1
RABGEF1	UBC
SOCS1	MAP3K5
MAP3K5	SOCS1
MAP3K5	SOCS3
SOCS1	MAP3K5
PCNA	CDT1
CDT1	PCNA
EGFR	CAV1
IRF1	STAT1
AMFR	UBE2G2
UBE2G2	AMFR
AMFR	UBE2G2
AMFR	UBC
CD3D	UBC
AMFR	CD3D
HIF1A	EGLN1
EPAS1	EGLN1
RAD23A	UBC
USP7	TP53
USP7	MDM2
MDM2	USP7
MDM2	USP7
USP7	TP53
USP7	MDM2
MET	CBL
CBL	MET
MET	UBC
ITCH	FYN
FYN	ITCH
FYN	ITCH
VPS25	VPS25
VPS25	SNF8
VPS25	VPS36
SNF8	VPS25
SNF8	SNF8
SNF8	VPS36
VPS36	VPS25
VPS36	SNF8
VPS25	CHMP6
SNF8	CHMP6
CHMP6	VPS25
VPS25	SNF8
VPS25	VPS25
VPS25	VPS36
LRDD	CASP2
LRDD	RIPK1
LRDD	IKBKG
LRDD	FADD
IKBKG	SUMO1
IKBKG	UBC
LRDD	CRADD
UBC	POLH
POLH	UBC
FBXO31	CUL1
FBXO31	SKP1
FBXO31	RBX1
SKP1	CUL1
SKP1	FBXO31
SKP1	RBX1
MEF2D	SUMO2
HDAC4	CDK5
LRRK2	PARK2
PARK2	LRRK2
PARK2	UBC
IGKV2D-29	USP4
IGKV2D-29	USP4
IGKV2D-29	USP4
IGKV2D-29	UBC
TP53	RNF20
RNF20	TP53
CDH1	CBLL1
CDH1	ADAM9
RANBP2	PARK2
PARK2	RANBP2
UBC	RANBP2
PARK2	RANBP2
SUMO1	HDAC4
HDAC4	PARK2
CBL	SLA
BRCA1	ACACA
ACACA	BRCA1
ASB2	CUL5
ASB2	RNF7
VHL	RBX1
ASB1	CUL5
ASB1	RNF7
ASB6	CUL5
ASB6	RNF7
ASB7	CUL5
ASB7	RNF7
ASB12	CUL5
ASB12	RNF7
ANAPC7	EP300
ANAPC7	CREBBP
EP300	ANAPC5
CREBBP	ANAPC5
EP300	ANAPC7
CREBBP	ANAPC7
CDC16	EP300
CDC16	CREBBP
ANAPC2	EP300
ANAPC2	CREBBP
CREBBP	ANAPC5
CREBBP	ANAPC7
CDH1	CREBBP
CDH1	EP300
CDC20	CREBBP
CDC20	EP300
EP300	CDH1
EP300	CDC20
CREBBP	CDH1
CREBBP	CDC20
AMBRA1	DDB1
AMBRA1	MAP1B
AMBRA1	ATG3
AMBRA1	ATG4B
AMBRA1	DDA1
ATG10	ATG7
ATG10	KRT85
ATG10	MAP1B
ATG10	USP11
ATG10	ATG4B
ATG10	ATG3
ATG10	USP7
ATG10	HAT1
ATG10	RBBP7
ATG10	ADSS
ATG12	TECPR1
ATG12	ATG4B
ATG12	ATG16L1
ATG12	MAP1B
ATG12	ATG5
ATG12	ATG7
ATG12	ATG3
ATG12	GABARAP
ATG16L1	GAN
ATG16L1	ATG5
ATG16L1	AGPS
ATG16L1	CCT7
ATG16L1	CCT2
ATG16L1	CCT3
ATG16L1	SNAPC4
ATG2A	WDR45
ATG2A	ATG2B
ATG2A	DNAJC7
ATG2A	SMC1A
ATG2A	MAGED2
ATG2A	DNAJB1
ATG2A	PHB2
ATG2A	C8orf30A
ATG3	ATG16L1
ATG3	ATG7
ATG3	ATG12
ATG3	TECPR1
ATG3	ATG5
ATG3	KRT85
ATG3	GABARAPL2
ATG3	GABARAP
ATG3	MAP1B
ATG3	ATG4B
ATG3	OBSL1
ATG4B	GABARAPL1
ATG4B	GABARAP
ATG4B	GABARAPL2
ATG4B	KRT4
ATG4B	ANXA1
ATG4C	SPTLC1
ATG4C	PSMD2
ATG4C	PSMC2
ATG4C	PSMC1
ATG4C	USP11
ATG4C	PRKDC
ATG4C	PSMC5
ATG4C	PSMC4
ATG4C	SMC1A
ATG5	ATG16L1
ATG5	TECPR1
ATG5	ATG12
ATG5	TKT
ATG7	GABARAPL2
ATG7	GABARAP
ATG7	MAP1LC3C
ATG7	GABARAPL1
ATG7	ATG3
BECN1	TSC1
BECN1	PIK3C3
BECN1	PIK3R4
BECN1	SLC27A4
BECN1	UVRAG
BECN1	DZIP3
BECN1	PTOV1
BECN1	TBC1D7
BECN1	ATG14
BECN1	KIAA0226
BECN1	TRABD
BECN1	NRBF2
BECN1	TP53BP2
BECN1	AMBRA1
BECN1	GSPT1
BECN1	AFG3L2
BECN1	SEH1L
BECN1	PRKDC
BECN1	C13orf18
BECN1	ZWINT
BECN1	SMC1A
BECN1	SMC3
C12orf44	ATG13
C12orf44	MYH4
C12orf44	FOXO3
C12orf44	ANKFY1
C12orf44	UBA5
C12orf44	FKBP4
C12orf44	LONP1
C12orf44	TARS
C12orf44	ASNS
C12orf44	PGK1
C12orf44	HK1
C12orf44	HADHB
C12orf44	PA2G4
C12orf44	LARS
C12orf44	SSRP1
C12orf44	VARS
C12orf44	HADHA
C12orf44	CBR1
C12orf44	COPA
C12orf44	LRPPRC
C12orf44	PRKDC
C12orf44	RPA1
C12orf44	ETFA
C12orf44	MYH2
C12orf44	DSC1
C12orf44	ARG1
C12orf44	PFKL
C12orf44	COPG
C12orf44	CDC37
C12orf44	ALDH9A1
C12orf44	PDHA1
CAMKK2	OBSL1
CAMKK2	CALM1
CAMKK2	FLNC
CAMKK2	PRKAA2
CAMKK2	GCN1L1
CAMKK2	XPOT
CAMKK2	IQGAP2
CAMKK2	PRKDC
CAMKK2	PRKAG1
CAMKK2	FLNA
CAMKK2	ATG4B
CAMKK2	ESYT2
CAMKK2	MAPK14
CAMKK2	FANCI
CAMKK2	SMC1A
CAMKK2	SMC3
CAMKK2	SLC25A11
CAMKK2	IRAK1
CLN3	COX15
CLN3	IMMT
CLN3	GCN1L1
CLN3	KIAA0368
CLN3	XPOT
CLN3	PRKDC
CLN3	ESYT2
CLN3	HSD17B12
CLN3	SEC61A2
CLN3	ABCD3
CLN3	SLC25A11
CLN3	RPN2
CLN3	AFG3L2
CLN3	IRAK1
CLN3	UNC45A
CLN3	NUP205
CLN3	XPO1
CLN3	NUP93
CLN3	ATG7
CLN3	TRIP13
CLN3	CYC1
CLN3	DDX20
CLN3	SIGMAR1
CLN3	RIF1
CLN3	AUP1
CLN3	SLC25A10
CLN3	VDAC2
CLN3	GEMIN4
CLN3	SFXN4
CLN3	SLC25A22
CLN3	TELO2
CLN3	PHB
CLN3	NPEPPS
CLN3	FANCI
CLN3	CCDC47
CLN3	GANAB
CLN3	CKAP4
CLN3	DDOST
CLN3	CAND1
CLN3	CPT1A
CLN3	ILVBL
CLN3	TMPO
DDA1	VprBP
DDA1	DCAF17
DDA1	AMBRA1
DDA1	DDB2
DDA1	DDB1
DDA1	DCAF11
DDA1	ANKFY1
DDA1	LTA4H
DDA1	ASNS
DDA1	FKBP4
DDA1	LARS
DDA1	PGK1
DDA1	TARS
DDA1	ECHS1
DDA1	PA2G4
DDA1	HADHA
DDA1	SHMT2
DDA1	ETFA
DDA1	COPA
DDA1	PRKDC
DDA1	CBR1
DDA1	FARSB
DDA1	SRM
DDA1	LAP3
DDA1	DCAF5
DDA1	WDTC1
DDA1	SEPT9
DDA1	NANS
DDA1	ESD
DDA1	CAND1
DDA1	WARS
DDA1	PRKAA1
DDA1	IDH3A
DDA1	MCM2
DDA1	ALDH7A1
DDA1	ADSL
DDA1	ALDH9A1
DDA1	NAMPT
DDA1	GMPS
DDA1	EIF5
DDA1	COPB2
DDA1	HADHB
DDIT3	C14orf80
DDIT3	LDOC1L
DDIT3	CEBPB
FOXO3	YWHAE
FOXO3	YWHAH
FOXO3	YWHAB
FOXO3	PGK1
FOXO3	FKBP4
FYCO1	C18orf8
FYCO1	CCZ1
FYCO1	MAP4
FYCO1	MON1B
FYCO1	LMNA
FYCO1	RPA2
FYCO1	TMPO
FYCO1	RPA1
FYCO1	SEC23B
FYCO1	SEC24B
FYCO1	CCAR1
FYCO1	FOXK1
FYCO1	RPA3
FYCO1	EMD
FYCO1	KIF5B
FYCO1	KIF23
GABARAP	FNBP1
GABARAP	TBC1D15
GABARAP	PI4K2A
GABARAP	NCOA7
GABARAP	DYX1C1
GABARAP	NEDD4
GABARAP	STBD1
GABARAP	SQSTM1
GABARAP	IPO5
GABARAP	ATG7
GABARAP	NBR1
GABARAP	ANKFY1
GABARAP	GBAS
GABARAP	ATG3
GABARAP	ATG4B
GABARAP	GABARAPL2
GABARAP	TECPR2
GABARAP	FKBP4
GABARAP	KEAP1
GABARAPL1	NSMAF
GABARAPL1	PIK3CG
GABARAPL1	TBC1D2B
GABARAPL1	KBTBD6
GABARAPL1	ATG4B
GABARAPL1	ATG2A
GABARAPL1	ATG7
GABARAPL1	DYX1C1
GABARAPL1	STBD1
GABARAPL1	NEK9
GABARAPL1	RABGAP1
GABARAPL1	SQSTM1
GABARAPL1	NEDD4
GABARAPL1	GBAS
GABARAPL1	GYS1
GABARAPL1	GABARAP
GABARAPL1	NIPSNAP1
GABARAPL1	HADHB
GABARAPL1	HADHA
GABARAPL1	TMEM160
GABARAPL1	WDR11
GABARAPL1	LLGL1
GABARAPL1	IPO5
GABARAPL1	PRKCI
GABARAPL1	PRKAR1A
GABARAPL1	KEAP1
GABARAPL1	GABARAPL2
GABARAPL1	ATG3
GABARAPL1	CUL3
GABARAPL1	KBTBD7
GABARAPL1	CLINT1
GABARAPL2	WDR62
GABARAPL2	NEDD4
GABARAPL2	NEK9
GABARAPL2	UBA5
GABARAPL2	SQSTM1
GABARAPL2	GBAS
GABARAPL2	ATG7
GABARAPL2	NIPSNAP1
GABARAPL2	HADHB
GABARAPL2	NBR1
GABARAPL2	TMEM160
GABARAPL2	HADHA
GABARAPL2	PRKCI
GABARAPL2	ATG4B
GABARAPL2	IPO5
GABARAPL2	KEAP1
GABARAPL2	ATG3
GABARAPL2	RCN2
GABARAPL2	CUL3
GABARAPL2	PTPLAD1
GABARAPL2	STBD1
GBAS	FOXO3
GBAS	NIPSNAP1
GBAS	NPEPPS
GBAS	ANKFY1
GBAS	FKBP4
GBAS	PGK1
GBAS	PA2G4
GBAS	TARS
GBAS	LARS
GBAS	PFKP
GBAS	HADHA
GBAS	PARP1
GBAS	PFAS
GBAS	PRKDC
GBAS	HK1
GBAS	GANAB
GBAS	MTA2
GBAS	WARS
GBAS	LONP1
GBAS	DDX39
GBAS	ALDH9A1
GBAS	NAMPT
MLST8	MTOR
MLST8	RPTOR
MLST8	KRT85
MLST8	CCT2
GOSR1	SCFD1
GOSR1	NSF
GOSR1	SEC22B
GOSR1	PKP1
GOSR1	DSC1
HIF1A	ARNT
HIF1A	BANP
KBTBD7	KBTBD6
KBTBD7	C17orf42
KBTBD7	PI4KB
KBTBD7	RBM26
KBTBD7	TJP1
KBTBD7	TJP2
KBTBD7	C18orf22
KBTBD7	MRPL45
KBTBD7	NSUN4
KBTBD7	IQGAP1
KBTBD7	NSMAF
KBTBD7	LLGL1
KBTBD7	CUL3
KBTBD7	NUP155
KBTBD7	POLRMT
KBTBD7	EIF4B
KBTBD7	KIAA1967
KBTBD7	TMEM160
KBTBD7	ERC1
KBTBD7	MTM1
KBTBD7	OBSL1
KBTBD7	GBF1
KBTBD7	GTF3C1
KBTBD7	BRSK2
KBTBD7	ZNF24
KBTBD7	VANGL1
KLHDC10	NUDCD3
KLHDC10	CUL2
KLHDC10	USP7
ATG13	C12orf44
ATG13	RB1CC1
ATG14	PIK3C3
ATG14	PIK3R4
ATG14	NRBF2
ATG14	BECN1
MAP1LC3A	MAP1B
MAP1LC3A	FYCO1
MAP1LC3A	MAP1A
MAP1LC3A	STK4
MAP1LC3A	NSMAF
MAP1LC3A	SQSTM1
MAP1LC3A	ATG7
MAP1LC3A	CLINT1
MAP1LC3A	GBAS
MAP1LC3A	STK3
MAP1LC3A	NIPSNAP1
MAP1LC3A	HADHA
MAP1LC3A	HADHB
MAP1LC3A	ATG4B
MAP1LC3A	TMEM160
MAP1LC3A	PRKCI
MAP1LC3A	ATG3
MAP1LC3A	KEAP1
MAP1LC3A	CLTC
MAP1LC3A	RASSF5
MAP1LC3A	RAB3GAP1
MAP1LC3A	RAB3GAP2
MAP1LC3A	CLTA
MAP1LC3A	PDCD6IP
MAP1LC3A	PIK3C2A
MAP1LC3A	SAFB2
MAP1LC3B	MAP1B
MAP1LC3B	FYCO1
MAP1LC3B	MAP1A
MAP1LC3B	DOCK1
MAP1LC3B	STK4
MAP1LC3B	RASSF5
MAP1LC3B	SQSTM1
MAP1LC3B	ATG7
MAP1LC3B	ATG4B
MAP1LC3B	STK3
MAP1LC3B	GBAS
MAP1LC3B	ATG16L1
MAP1LC3B	MAP1LC3A
MAP1LC3B	NIPSNAP1
MAP1LC3B	CLINT1
MAP1LC3B	TMEM160
MAP1LC3B	HADHB
MAP1LC3B	HADHA
MAP1LC3B	ATG3
MAP1LC3B	PRKCI
MAP1LC3B	ATG5
MAP1LC3B	KEAP1
MAP1LC3B	GABARAP
MAP1LC3C	ATG7
MAP1LC3C	PIK3C3
MAP1LC3C	TFCP2
MAP1LC3C	ATG16L1
MAP1LC3C	ATG5
MAP1LC3C	RB1CC1
MAP1LC3C	ATG3
MAP1LC3C	GABARAPL2
MAP1LC3C	USP11
MAP1LC3C	GABARAP
MAP1LC3C	SF3A1
MAP1LC3C	PIK3R4
NEK9	NEK7
NEK9	DYNLL1
NEK9	CHEK1
NRBF2	NRBF2
NRBF2	CPVL
NRBF2	PA2G4
NRBF2	PGK1
NSF	NAPA
NSF	NAPG
NSF	STX12
NSF	STX8
NSF	STX7
NSF	VTI1B
NSF	SNAP29
NSF	SCFD1
NSF	SNAP23
NSF	STX6
NSF	STX5
NSF	CSNK1G3
NSMAF	NEK9
NSMAF	XIRP2
PDPK1	SND1
PDPK1	G3BP1
PDPK1	TBL2
PDPK1	PA2G4
PIK3C2A	ATG7
PIK3C2A	ANKFY1
PIK3C2A	FKBP4
PIK3C2A	TARS
PIK3C2A	PGK1
PIK3C2A	MAP1LC3A
PIK3C2A	PA2G4
PIK3C2A	TKT
PIK3C2A	EIF3A
PIK3C3	PIK3R4
PIK3C3	UVRAG
PIK3C3	ATG14
PIK3C3	CLPTM1L
PIK3C3	NRBF2
PIK3C3	BECN1
PIK3C3	KIAA0226
PIK3C3	USP11
PIK3CG	UTRN
PIK3CG	PRMT7
PRKAA1	EIF5B
PRKAA1	PRKAG1
PRKAA1	SUPT16H
PRKAA1	FXR2
PRKAA1	PA2G4
PRKAA1	SND1
PRKAA1	G3BP1
PRKAA1	PARP1
PRKAA1	FMR1
PRKAA1	PRKAB2
PRKAA1	PRKAB1
PRKAA1	RPL35
PRKAA2	PRKAB2
PRKAA2	PRKAG1
PRKAA2	MLF2
PRKAA2	PRKAA1
PRKAA2	STIM2
PRKAA2	SH3PXD2A
PRKAA2	STIM1
PRKAA2	GYS1
PRKAA2	PRKAG2
PRKAA2	KIAA0284
PRKAA2	MAST3
PRKAA2	MAP3K5
PRKAA2	MAP3K6
PRKAA2	BAIAP2L1
PRKAA2	GYG1
PRKAA2	PIK3CG
PRKAA2	FLCN
PRKAA2	AMOT
PRKAA2	RB1CC1
PRKAA2	ULK1
PRKAA2	GFPT1
PRKAA2	AGL
PRKAA2	PARS2
PRKAA2	FNIP1
PRKAA2	DFFA
PRKAA2	SMC1A
PRKAA2	ACACA
PRKAA2	DNAJB1
PRKAB1	PRKAA2
PRKAB1	PRKAA1
PRKAB1	PRKAG1
PRKAB1	PRKAG2
PRKAB1	NSF
PRKAB1	CBR1
PRKAB1	TGM3
PRKAB1	PRKAB2
PRKAB1	CASP14
PRKAB1	DSC1
PRKAB2	PRKAA2
PRKAB2	PRKAG1
PRKAB2	MAP3K5
PRKAB2	PRKAG2
PRKAB2	PRKAA1
PRKAB2	GYS1
PRKAB2	MAP3K6
PRKAB2	STIM2
PRKAB2	SH3PXD2A
PRKAB2	GYG1
PRKAB2	MAST3
PRKAB2	AGL
PRKAB2	RB1CC1
PRKAB2	PRKDC
PRKAB2	FANCI
PRKAB2	MAP3K15
PRKAB2	BAIAP2L1
PRKAB2	NET1
PRKAB2	GCN1L1
PRKAB2	GFPT1
PRKAG1	PRKAA2
PRKAG1	PRKAA1
PRKAG1	PRKAB2
PRKAG1	PRKAB1
PRKAG1	FKBP4
PRKAG1	PGK1
PRKAG1	MCM2
PRKAG1	PA2G4
