Official Symbol Interactor A	Official Symbol Interactor B
GRB10	GIGYF2
PROX1	EP300
ATXN1	UBQLN4
ATXN1	ANP32A
ATXN1	USP7
EZH2	EED
KHDRBS1	RAPSN
CITED2	TFAP2C
RIT1	RALGDS
MRAS	RALGDS
PGR	UBE3A
RAD23A	PSMD4
RAD23B	PSMD4
NAA38	GTF2I
THRB	PSMC5
TRAIP	TRAF1
HIVEP3	TRAF1
XRN1	SMARCD2
RNF7	CUL5
TRIM28	SETDB1
PEX7	PHYH
PEX12	PEX10
PEX12	PEX10
SP3	STK19
MCM6	MCM6
RFXAP	RFX5
HIVEP3	TRAF2
TRAIP	TRAF2
ORC1L	CDC7
BCL2L2	BCL2L11
STAP2	PTK6
EXOSC6	PSMB1
DCP2	PSMB1
IL16	PPP1R12A
RING1	CBX4
DOCK8	RAC1
RAC1	RAP1GDS1
RAC1	ARFIP2
RAC2	CUL1
NAA38	TALDO1
TRPV1	SYT9
TACC1	YEATS4
PRMT5	CLNS1A
RFWD2	SIPA1
SIAH1	KIF22
PEG10	SIAH1
SIAH1	CACYBP
PEG10	SIAH2
ATXN7	CRX
NEDD4	UBE2D2
TTF2	DRAP1
CIB1	EXOSC10
ILK	ILKAP
ILK	LIMS1
DNM2	SHANK1
DNM2	SHANK2
DNM2	MPP6
BLMH	UBE2I
PPP2R5D	HAND2
HAND2	COPS5
CFTR	GOPC
SLBP	ERI1
SCAMP1	ITSN1
IPCEF1	CYTH2
NRIP1	NR0B1
HEXIM1	CCNT1
RGS4	COPB2
MAP3K3	MAP2K5
SNAP23	SNAPIN
NPAS4	ARNTL
RANBP3	XPO1
GOLGA2	GORASP2
MAGOH	RBM8A
ACCN3	MAGI1
IL1RAP	TOLLIP
FHL2	SFPQ
PPP1R8	EED
UPF2	EIF4A1
PDE6D	RND1
ARHGAP5	RND3
HNRNPAB	TP63
NR1H4	NCOA1
MCM3	MCM5
MCM3	CDC45
MCM3	DBF4
MCM3	ORC5L
MCM3	ORC4L
MCM5	CDC7
EP300	CITED2
EP300	CITED2
APBA2	CLSTN1
SEPT5	NAA38
FYB	SKAP1
PRKAB1	PRKAG1
PRKAB1	PRKAG2
PRKAB2	PRKAG1
PRKAB2	PRKAG2
PRKAG1	PRKAG2
RGPD5	TNPO1
DNMT3A	UBE2I
THRB	BRD8
RNF4	PATZ1
TTF2	CDC5L
PPL	KAZ
SAFB	SAFB2
MAPK8IP3	MAPK10
MAPK10	MAPK8IP3
MAPK11	HDAC3
PIAS4	SMAD7
TRIP6	LPAR2
LHX2	CITED2
E2F6	RYBP
POLE2	SAP18
BTG1	PRMT1
BTG1	PRMT1
RNF216	TLR3
RNF216	TLR4
RNF216	TLR5
ENAH	ABI1
SLC31A1	SLC31A1
SRSF7	DUSP11
DUSP11	SRSF9
NEDD9	SMAD3
RNF7	CUL1
SRRM2	PNN
MCL1	BAD
DAXX	MCRS1
MVD	BTAF1
SMARCA4	MPP6
FANCA	SMARCA4
XRN1	CHD4
ARHGEF7	SHANK2
FNBP1	TNKS
BIRC5	AURKB
SRSF3	EXOSC6
TNFRSF25	TRADD
XRN1	PABPC4
ITGA3	RABIF
RIPK3	RIPK1
LSM7	MYH13
MALT1	BCL10
C9orf89	BCL10
NMI	LSM4
AP1S1	AP1G2
AP1S1	AP1G1
AP1S2	AP1G1
AP1S2	AP1G2
XRN1	AP1G2
VAMP4	AP1M1
SNRPF	LSM5
MBD2	GPN1
MBD3L1	MBD3
TOP3B	CHD8
TOP3B	ZFPM1
RABEP1	HUNK
RPL5	RPL5
RPS20	MPP6
UBOX5	UBE2L3
HIC1	HIC1
PDZK1	SLC22A4
PDZK1	AKAP10
PDZK1IP1	PDZK1
PDZK1IP1	PDZK1
PDZK1	SLC22A12
DNM1L	GSK3B
