From	To
COL5A2	ITGB8
COL5A2	GP6
COL5A2	SDC1
COL5A2	SDC4
COL5A2	ITGA10
COL5A2	CD44
COL6A1	ITGA11
COL6A1	ITGA1
COL6A1	ITGA2
COL6A1	ITGA3
COL6A1	ITGA9
COL6A1	ITGAV
COL6A1	ITGB1
COL6A1	ITGB8
COL6A1	GP6
COL6A1	SDC1
COL6A1	SDC4
COL6A1	ITGA10
COL6A1	CD44
COL6A2	ITGA11
COL6A2	ITGA1
COL6A2	ITGA2
COL6A2	ITGA3
COL6A2	ITGA9
COL6A2	ITGAV
COL6A2	ITGB1
COL6A2	ITGB8
COL6A2	GP6
COL6A2	SDC1
COL6A2	SDC4
COL6A2	ITGA10
COL6A2	CD44
COL6A3	ITGA11
COL6A3	ITGA1
COL6A3	ITGA2
COL6A3	ITGA3
COL6A3	ITGA9
COL6A3	ITGAV
COL6A3	ITGB1
COL6A3	ITGB8
COL6A3	GP6
COL6A3	SDC1
COL6A3	SDC4
COL6A3	ITGA10
COL6A3	CD44
COL11A1	ITGA11
COL11A1	ITGA1
COL11A1	ITGA2
COL11A1	ITGA3
COL11A1	ITGA9
COL11A1	ITGAV
COL11A1	ITGB1
COL11A1	ITGB8
COL11A1	GP6
COL11A1	SDC1
COL11A1	SDC4
COL11A1	ITGA10
COL11A1	CD44
COL11A2	ITGA11
COL11A2	ITGA1
COL11A2	ITGA2
COL11A2	ITGA3
COL11A2	ITGA9
COL11A2	ITGAV
COL11A2	ITGB1
COL11A2	ITGB8
COL11A2	GP6
COL11A2	SDC1
COL11A2	SDC4
COL11A2	ITGA10
COL11A2	CD44
COMP	ITGA2B
COMP	ITGA3
COMP	ITGAV
COMP	ITGB1
COMP	ITGB3
COMP	SDC1
COMP	SDC4
COMP	CD36
COMP	CD47
COL6A6	ITGA11
COL6A6	ITGA1
COL6A6	ITGA2
COL6A6	ITGA3
COL6A6	ITGA9
COL6A6	ITGAV
COL6A6	ITGB1
COL6A6	ITGB8
COL6A6	GP6
COL6A6	SDC1
COL6A6	SDC4
COL6A6	ITGA10
COL6A6	CD44
LAMB4	DAG1
LAMB4	SV2C
LAMB4	ITGA6
LAMB4	ITGA1
LAMB4	ITGA2
LAMB4	ITGA3
LAMB4	ITGA7
LAMB4	ITGA9
LAMB4	ITGAV
LAMB4	ITGB1
LAMB4	ITGB4
LAMB4	ITGB8
LAMB4	CD44
LAMB4	SV2B
LAMB4	SV2A
FN1	ITGA2B
FN1	ITGA3
FN1	ITGA4
FN1	ITGA5
FN1	ITGAV
FN1	ITGB1
FN1	ITGB3
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	SDC1
FN1	SDC4
FN1	ITGA8
FN1	CD44
COL24A1	ITGA11
COL24A1	ITGA1
COL24A1	ITGA2
COL24A1	ITGA3
COL24A1	ITGA9
COL24A1	ITGAV
COL24A1	ITGB1
COL24A1	ITGB8
COL24A1	GP6
COL24A1	SDC1
COL24A1	SDC4
COL24A1	ITGA10
COL24A1	CD44
LAMA1	DAG1
LAMA1	SV2C
LAMA1	ITGA6
LAMA1	ITGA1
LAMA1	ITGA2
LAMA1	ITGA3
LAMA1	ITGA7
LAMA1	ITGA9
LAMA1	ITGAV
LAMA1	ITGB1
LAMA1	ITGB4
LAMA1	ITGB8
LAMA1	CD44
LAMA1	SV2B
LAMA1	SV2A
HSPG2	DAG1
TNC	ITGA9
TNC	ITGAV
TNC	ITGB1
TNC	ITGB3
TNC	ITGB6
TNC	SDC1
TNC	SDC4
TNC	ITGA8
IBSP	ITGAV
IBSP	ITGB3
IBSP	ITGB5
AGRN	DAG1
LAMA2	DAG1
LAMA2	SV2C
LAMA2	ITGA6
LAMA2	ITGA1
LAMA2	ITGA2
LAMA2	ITGA3
LAMA2	ITGA7
LAMA2	ITGA9
LAMA2	ITGAV
LAMA2	ITGB1
LAMA2	ITGB4
LAMA2	ITGB8
LAMA2	CD44
LAMA2	SV2B
LAMA2	SV2A
LAMA3	DAG1
LAMA3	SV2C
LAMA3	ITGA6
LAMA3	ITGA1
LAMA3	ITGA2
LAMA3	ITGA3
LAMA3	ITGA7
LAMA3	ITGA9
LAMA3	ITGAV
LAMA3	ITGB1
LAMA3	ITGB4
LAMA3	ITGB8
LAMA3	CD44
LAMA3	SV2B
LAMA3	SV2A
LAMA4	DAG1
LAMA4	SV2C
LAMA4	ITGA6
LAMA4	ITGA1
LAMA4	ITGA2
LAMA4	ITGA3
LAMA4	ITGA7
LAMA4	ITGA9
LAMA4	ITGAV
LAMA4	ITGB1
LAMA4	ITGB4
LAMA4	ITGB8
LAMA4	CD44
LAMA4	SV2B
LAMA4	SV2A
LAMA5	DAG1
LAMA5	SV2C
LAMA5	ITGA6
LAMA5	ITGA1
LAMA5	ITGA2
