From	To
SPINK1	EGFR
SPINK1	NRSN1
SPINT1	ST14
SPP1	ITGA5
SPP1	S1PR1
SYTL3	NRXN1
TAC1	TACR3
TAC3	TACR1
TAC3	TACR2
TAC4	TACR1
TAC4	TACR2
TAC4	TACR3
TCTN1	TMEM67
TDGF1	ACVR1B
TDGF1	ACVR1C
TDGF1	ACVR2A
TFPI	LRP1
TFPI	VLDLR
TGFA	ERBB4
TGFB1	ACVRL1
TGFB1	ENG
TGFB1	ITGAV
TGFB1	ITGB6
TGFB1	ITGB8
TGFB1	SDC2
TGFB2	ENG
TGFB3	ACVRL1
TGFB3	ENG
TGM2	GPR56
TGM2	ITGB1
TGM2	ITGB3
TGM2	SDC4
TG	ASGR1
TG	LRP2
THBS1	ITGA4
THBS1	ITGA6
THBS1	LRP1
THBS1	LRP5
THBS1	TNFRSF11B
THBS2	ITGA4
THBS2	ITGA6
THBS2	NOTCH3
TIMP1	CD63
TIMP2	ITGA3
TIMP2	ITGB1
TIMP3	AGTR2
TIMP3	KDR
TNC	CNTN1
TNC	EGFR
TNC	ITGA5
TNC	ITGA7
TNC	PTPRB
TNFSF12	TNFRSF25
TNFSF13	FAS
TNFSF13	SDC2
TNFSF13	TNFRSF11B
TNFSF13	TNFRSF14
TNFSF13	TNFRSF1A
TNFSF4	TRAF2
TNFSF9	TRAF2
TNF	TNFRSF21
TNF	TRAF2
TRH	TRHR
UCN2	CRHR1
UCN2	CRHR2
UCN2	IL10RB
UCN3	CRHR1
UCN3	CRHR2
UCN3	IL10RB
ULBP2	KLRK1
UTS2B	UTS2R
UTS2	UTS2R
VASP	CXCR2
VCAM1	ITGA4
VCAM1	ITGAD
VCAM1	ITGB1
VCAM1	ITGB2
VCAM1	ITGB7
VCAN	EGFR
VCAN	ITGA4
VCAN	ITGB1
VCAN	SELP
VEGFA	EPHB2
VEGFA	GPC1
VEGFA	NRP1
VEGFA	NRP2
VEGFB	NRP1
VEGFC	NRP2
VEGFC	VIPR2
VIM	CD44
VIP	ADCYAP1R1
VIP	SCTR
VIP	VIPR1
VIP	VIPR2
VTN	ITGA5
VTN	ITGB6
VTN	PLAUR
VTN	PVR
VTN	TNFRSF11B
VWF	TNFRSF11B
WNT1	FZD3
WNT1	FZD9
WNT1	LRP5
WNT2	FZD5
WNT2	FZD7
WNT2	FZD8
WNT3A	APCDD1
WNT3A	FZD2
WNT3A	FZD5
WNT3A	FZD6
WNT3A	FZD7
WNT3A	LRP1
WNT3A	RYK
WNT3	FZD7
WNT3	FZD8
WNT3	RYK
WNT4	FZD2
WNT4	FZD6
WNT5A	FZD4
WNT5A	FZD6
WNT5A	FZD8
WNT5A	LRP5
WNT5A	MCAM
WNT5A	RYK
WNT7A	FZD9
WNT7B	LRP5
YARS	CXCR1
ZG16B	CXCR4
ZG16B	TLR2
ZG16B	TLR4
ZG16B	TLR5
ZG16B	TLR6
ZP3	MERTK
