p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
7.22875469828444e-09	0.800810166868982	0.257	0.148	9.91351419322728e-05	ABHD14B	control	0.800810166868982
7.55636273436511e-09	0.965473111698456	0.199	0.104	0.000103627958539083	ODF2L	control	0.965473111698456
8.53375895059276e-09	6.29935775109428	0.983	0.962	0.000117031970248429	EEF1D	control	6.29935775109428
9.55246559742284e-09	2.14626440934797	0.056	0.014	0.000131002513203057	PERP	control	2.14626440934797
1.00852093516261e-08	0.54394291659496	0.17	0.082	0.0001383085610482	SH2D1A	control	0.54394291659496
1.0307771878039e-08	14.9558126484785	0.033	0.005	0.000141360783535427	RP11-70P17.1	control	14.9558126484785
1.43067709141733e-08	1.3471090488143	0.112	0.045	0.000196203056316972	FRA10AC1	control	1.3471090488143
1.43899395716248e-08	1.37418868144591	0.101	0.039	0.000197343631285263	NMT2	control	1.37418868144591
1.54110308162527e-08	3.60029072288373	0.493	0.353	0.00021134687661409	TRMT112	control	3.60029072288373
1.74108951392484e-08	2.46903803272035	0.043	0.009	0.000238773015939652	FBLN7	control	2.46903803272035
2.1721660291205e-08	1.08322279449417	0.159	0.078	0.000297890849233585	HTATSF1	control	1.08322279449417
2.59101205099616e-08	1.06391558750513	0.133	0.06	0.000355331392673613	SCML4	control	1.06391558750513
2.74633671808839e-08	1.34238823779205	0.106	0.042	0.000376632617518642	SOCS1	control	1.34238823779205
3.02910745826505e-08	2.13389367980854	0.058	0.016	0.000415411796826469	FBXL8	control	2.13389367980854
3.04319464247628e-08	1.56366038328041	0.085	0.03	0.000417343713269197	UBASH3A	control	1.56366038328041
3.04598533384221e-08	0.8929840451012	0.404	0.284	0.00041772642868312	KRTCAP2	control	0.8929840451012
3.13803263503702e-08	1.76625127546895	0.066	0.02	0.000430349795568976	TRAF1	control	1.76625127546895
3.26829922548692e-08	17.999652952123	0.687	0.583	0.000448214555783277	COMMD6	control	17.999652952123
3.40249961666344e-08	1.06462625174444	0.234	0.135	0.000466618797429225	PPP1R12A	control	1.06462625174444
3.66907583647469e-08	1.7390053163493	0.091	0.034	0.000503177060214139	AC013264.2	control	1.7390053163493
4.56284612975875e-08	9.67758905676251	0.157	0.078	0.000625748718235115	DYNLT3	control	9.67758905676251
4.85514433120622e-08	1.9087107674266	0.087	0.032	0.000665834493581621	GIPC1	control	1.9087107674266
5.01210503621625e-08	1.62159536474935	0.116	0.05	0.000687360084666696	CD28	control	1.62159536474935
5.16483844120041e-08	1.51816669556047	0.118	0.052	0.000708305943826224	RCBTB2	control	1.51816669556047
5.93178547271967e-08	43.714770183304	0.176	0.093	0.000813485059728775	ARID5B	control	43.714770183304
6.09135495447323e-08	31.3477322580248	0.313	0.202	0.000835368418456459	DDIT4	control	31.3477322580248
6.5561518886916e-08	1.00038272573634	0.143	0.068	0.000899110670015167	UBL3	control	1.00038272573634
6.73381396230297e-08	16.4172540385123	0.996	0.967	0.00092347524679023	NACA	control	16.4172540385123
6.80225583854958e-08	0.216730984382025	0.996	0.982	0.000932861365698689	FAU	control	0.216730984382025
7.46360845702289e-08	0.92014479136729	0.184	0.098	0.00102355926379612	NUDCD2	control	0.92014479136729
7.68943330712284e-08	1.23166045003581	0.209	0.117	0.00105452888373883	SVIP	control	1.23166045003581
7.78728781121866e-08	3.75706770549861	0.3	0.192	0.00106794865043053	IL10RA	control	3.75706770549861
8.05285063456768e-08	2.4084123325293	0.041	0.009	0.00110436793602461	LRP2BP	control	2.4084123325293
8.07526945487584e-08	1.96718901480978	0.041	0.009	0.00110744245304167	FXYD1	control	1.96718901480978
1.0123151356026e-07	0.976427704551055	0.133	0.062	0.00138828897696541	TDP2	control	0.976427704551055
1.03902042996884e-07	29.882888219665	0.271	0.172	0.00142491261765927	NSMCE1	control	29.882888219665
1.1870224078283e-07	1.01143842778985	0.106	0.045	0.00162788253009574	CTC-523E23.11	control	1.01143842778985
1.37978523163105e-07	1.7052700012265	0.066	0.021	0.00189223746665882	EPS8L2	control	1.7052700012265
1.39951773035071e-07	20.0544613213432	0.298	0.191	0.00191929861540297	HSPE1	control	20.0544613213432
1.64676603877158e-07	0.743271147294286	0.265	0.164	0.00225837494557135	MYLIP	control	0.743271147294286
2.27356118667812e-07	1.58949218000731	0.07	0.024	0.00311796181141037	SLAMF1	control	1.58949218000731
2.42105085381606e-07	32.8968830743066	0.511	0.386	0.00332022914092335	PTGES3	control	32.8968830743066
2.55368878743661e-07	3.96329343846094	0.021	0.002	0.00350212880309057	DUSP4	control	3.96329343846094
2.73935862767547e-07	1.35203009055386	0.199	0.113	0.00375675642199414	TMEM173	control	1.35203009055386
3.26338877137328e-07	1.17375518322442	0.143	0.071	0.00447541136106132	CLDND1	control	1.17375518322442
3.42953268080284e-07	1.18567720924918	0.153	0.079	0.00470326111845301	NAE1	control	1.18567720924918
3.58122805221741e-07	2.42730579626408	0.041	0.01	0.00491129615081095	CBR3	control	2.42730579626408
3.63887357368093e-07	3.56258507752304	0.101	0.044	0.00499035121894603	ZNF775	control	3.56258507752304
4.35919564835964e-07	3.89042677495456	0.017	0.001	0.00597820091216041	FOXP3	control	3.89042677495456
4.41914919097944e-07	1.4879670949582	0.079	0.03	0.00606042120050921	P4HTM	control	1.4879670949582
4.46751628359813e-07	0.260386912704558	0.458	0.348	0.00612675183132648	DAD1	control	0.260386912704558
4.4986310628229e-07	13.3152547326339	0.317	0.214	0.00616942263955532	TAP1	control	13.3152547326339
4.51727296836583e-07	35.3395085281875	0.122	0.058	0.0061949881488169	TIGIT	control	35.3395085281875
4.66949412327381e-07	1.07875334725364	0.114	0.052	0.0064037442406577	UBE2Q2	control	1.07875334725364
4.79442407801458e-07	1.62985337679097	0.205	0.119	0.00657507318058919	GLOD4	control	1.62985337679097
5.91188700074708e-07	2.30120986998835	0.064	0.022	0.00810756183282455	DPP4	control	2.30120986998835
6.46098879209253e-07	2.15402111646969	0.176	0.097	0.0088606000294757	PPP6C	control	2.15402111646969
6.77188389422912e-07	3.03240856156494	0.035	0.007	0.00928696157254581	ICA1	control	3.03240856156494
6.87681053571415e-07	1.20223395574932	0.153	0.081	0.00943085796867839	EML4	control	1.20223395574932
6.90450113691429e-07	2.14262789883755	0.043	0.011	0.00946883285916426	CDR2	control	2.14262789883755
6.99461428813185e-07	51.8214230418202	0.244	0.152	0.00959241403474402	NDUFA5	control	51.8214230418202
7.0064221536523e-07	2.97288144961055	0.023	0.003	0.00960860734151876	AC020571.3	control	2.97288144961055
7.20960893413199e-07	1.70255549612974	0.075	0.028	0.00988725769226862	PCSK1N	control	1.70255549612974
7.27914977238966e-07	11.0960897221726	0.07	0.026	0.00998262599785518	PTTG1	control	11.0960897221726
7.44000541238237e-07	5.04166788729815	0.503	0.393	0.0102032234225412	CCND3	control	5.04166788729815
7.4685106585464e-07	8.15903648546431	0.468	0.355	0.0102423155171305	EIF3E	control	8.15903648546431
7.78532181853515e-07	1.0698867750647	0.081	0.032	0.0106767903419391	CASP6	control	1.0698867750647
9.27286112117593e-07	1.37745289314943	0.099	0.044	0.0127168017415807	EPHX2	control	1.37745289314943
9.30853404235313e-07	0.791298469069367	0.168	0.091	0.0127657235856831	MRPS30	control	0.791298469069367
9.56517902540716e-07	0.836151556508277	0.186	0.106	0.0131176865154434	METTL5	control	0.836151556508277
9.66121416474128e-07	62.6848040632841	0.155	0.083	0.0132493891055262	TRABD2A	control	62.6848040632841
1.19161128572959e-06	1.02972000697374	0.155	0.084	0.0163417571724956	PCID2	control	1.02972000697374
1.25034428918403e-06	0.872912536034051	0.19	0.11	0.0171472215818698	RBL2	control	0.872912536034051
1.27071149192796e-06	10.8137871123583	0.675	0.556	0.0174265374003001	NAP1L1	control	10.8137871123583
1.43252132144866e-06	1.26141835700089	0.081	0.032	0.0196455974023469	BTG3	control	1.26141835700089
1.48439735026781e-06	2.53215071992617	0.273	0.178	0.0203570252615727	MRPL34	control	2.53215071992617
1.5096971813542e-06	1.43216436509409	0.068	0.025	0.0207039871450915	RASGRP1	control	1.43216436509409
1.52522057210659e-06	2.15759277514069	0.035	0.008	0.0209168749258698	FAM84B	control	2.15759277514069
1.54898901907069e-06	1.25669038461225	0.143	0.075	0.0212428354075354	CLEC2D	control	1.25669038461225
1.55288187496978e-06	1.90243325578972	0.05	0.015	0.0212962220333355	RP13-977J11.2	control	1.90243325578972
1.60471380384795e-06	17.9399937729322	0.277	0.181	0.0220070451059708	TRAM1	control	17.9399937729322
1.82282216058418e-06	1.61700969391651	0.066	0.024	0.0249981831102514	HNRNPLL	control	1.61700969391651
1.8350642079116e-06	1.07212280393488	0.161	0.089	0.0251660705472997	CD46	control	1.07212280393488
1.89142006119177e-06	1.08314857992567	0.137	0.071	0.0259389347191839	NARF	control	1.08314857992567
