p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
0.221541090719778	-0.597632577351107	0.015	0.024	1	SC5D	control	-0.597632577351107
0.221984382248331	-14.4239866816228	0.033	0.046	1	SNX9	control	-14.4239866816228
0.221998859393272	-7.83366049485062	0.025	0.036	1	SRPK1	control	-7.83366049485062
0.221998862449633	-0.66121664989197	0.025	0.036	1	NOL8	control	-0.66121664989197
0.22216916897482	-13.9201642086133	0.05	0.065	1	MRPS18A	control	-13.9201642086133
0.222675140546756	0.45724548495	0.033	0.024	1	UBE2M	control	0.45724548495
0.222951687897926	-0.57076057213287	0.025	0.036	1	GSS	control	-0.57076057213287
0.223429104907	-0.523312789811308	0.025	0.036	1	FAM172A	control	-0.523312789811308
0.223455210833358	-56.0192536906005	0.394	0.424	1	ATP5A1	control	-56.0192536906005
0.223680486185362	0.888497131038744	0.021	0.013	1	TRIM16	control	0.888497131038744
0.2236833121375	-0.229689963805141	0.015	0.024	1	DCTN5	control	-0.229689963805141
0.223805247838134	-0.298650853702672	0.019	0.029	1	ERCC3	control	-0.298650853702672
0.224000192803422	-0.474251308553541	0.025	0.036	1	TBC1D20	control	-0.474251308553541
0.224360724871718	-30.9872136211377	0.123	0.145	1	ARF4	control	-30.9872136211377
0.2244257178764	-0.607525272500438	0.06	0.076	1	RALA	control	-0.607525272500438
0.224584201963959	-0.292515560217497	0.046	0.06	1	CBX1	control	-0.292515560217497
0.224699584823681	-3.57600679908197	0.204	0.233	1	RALY	control	-3.57600679908197
0.224710551050056	0.454001805783583	0.175	0.154	1	PTPN2	control	0.454001805783583
0.224843300036614	-0.260771982158475	0.073	0.09	1	XPA	control	-0.260771982158475
0.22616817336654	-0.670279221011031	0.027	0.038	1	ARID2	control	-0.670279221011031
0.22663315037367	0.7727986667967	0.017	0.01	1	SMG6	control	0.7727986667967
0.22663315037367	0.7727986667967	0.017	0.01	1	ACOX1	control	0.7727986667967
0.226674863613493	-0.73800933440967	0.027	0.038	1	SLC30A7	control	-0.73800933440967
0.226710377656863	-65.5826874082399	0.056	0.044	1	VTI1A	control	-65.5826874082399
0.226784622234401	0.671268176576733	0.027	0.019	1	MCM3AP	control	0.671268176576733
0.227178830436068	0.608818316894147	0.017	0.01	1	NOP9	control	0.608818316894147
0.227178830436068	-38.6726810450796	0.017	0.01	1	DHX34	control	-38.6726810450796
0.227545702021606	0.589442878073603	0.027	0.019	1	FAM168B	control	0.589442878073603
0.227618894195251	-10.9603770395248	0.021	0.031	1	PTPRN2	control	-10.9603770395248
0.227779535647673	8.65992082949735	0.073	0.058	1	RP11-1094M14.11	control	8.65992082949735
0.227868657270954	-0.621153492457645	0.027	0.038	1	ADRB2	control	-0.621153492457645
0.227888673909796	-38.0259484112216	0.156	0.134	1	FKBP2	control	-38.0259484112216
0.228451141430879	0.352684657819283	0.025	0.036	1	CDK5RAP1	control	0.352684657819283
0.228842348103293	-0.785840244273268	0.013	0.021	1	SKIV2L	control	-0.785840244273268
0.228927600160201	-0.563332293875161	0.021	0.031	1	CYP4V2	control	-0.563332293875161
0.229163256320866	-0.706849531479723	0.013	0.021	1	LMF1	control	-0.706849531479723
0.229224078617866	-48.8365628266911	0.04	0.053	1	HMGCL	control	-48.8365628266911
0.229295962130951	-38.2267806483862	0.283	0.258	1	FAM96B	control	-38.2267806483862
0.229336819181058	0.996077966764672	0.01	0.006	1	DCLRE1B	control	0.996077966764672
0.229336819181058	0.996077966764672	0.01	0.006	1	DNAJC27-AS1	control	0.996077966764672
0.229336819181058	0.996077966764672	0.01	0.006	1	AC074183.4	control	0.996077966764672
0.229336819181058	0.996077966764672	0.01	0.006	1	RP11-448A19.1	control	0.996077966764672
0.229336819181058	0.996077966764672	0.01	0.006	1	TCEANC	control	0.996077966764672
0.229359267958729	-12.4391652458716	0.246	0.272	1	SRI	control	-12.4391652458716
0.229432994515171	-0.506440847471777	0.021	0.031	1	ANGEL2	control	-0.506440847471777
0.229436327278621	-0.495511385034455	0.042	0.055	1	CSNK2A1	control	-0.495511385034455
0.22951399258899	-0.623282109965154	0.013	0.021	1	MED23	control	-0.623282109965154
0.230261941290781	-0.858212241981665	0.01	0.006	1	TSPAN33	control	-0.858212241981665
0.230261941290781	-11.882218080621	0.01	0.006	1	ARRDC4	control	-11.882218080621
0.230893842181829	-0.706761227983415	0.11	0.13	1	CCZ1	control	-0.706761227983415
0.23190779346647	0.487616546660019	0.038	0.027	1	NRAS	control	0.487616546660019
0.23190779346647	0.487616546660019	0.038	0.027	1	DGCR2	control	0.487616546660019
0.232030909773195	-0.552372134228647	0.017	0.026	1	ARFIP1	control	-0.552372134228647
0.232315091082157	18.9308224577561	0.148	0.128	1	TRABD	control	18.9308224577561
0.234251297204731	-41.4409959311623	0.046	0.06	1	ZCCHC9	control	-41.4409959311623
0.234951086818254	-24.6770140014645	0.029	0.02	1	KIAA1429	control	-24.6770140014645
0.235303608353939	-0.532184763901933	0.023	0.033	1	YTHDF3	control	-0.532184763901933
0.235435850854208	-1.21881329280922	0.004	0.01	1	PRKCI	control	-1.21881329280922
0.235435850854208	-2.23093800455927	0.004	0.01	1	FAM221A	control	-2.23093800455927
0.235435850854208	-1.21881329280922	0.004	0.01	1	SPATA5L1	control	-1.21881329280922
0.235462655114541	-1.13529317338216	0.01	0.018	1	EPOR	control	-1.13529317338216
0.235462656669865	-0.927665967228837	0.01	0.018	1	TBC1D19	control	-0.927665967228837
0.235462656669865	-0.927665967228837	0.01	0.018	1	GLTSCR1L	control	-0.927665967228837
0.235462656669865	-0.927665967228837	0.01	0.018	1	IFT74	control	-0.927665967228837
0.2355976123252	-1.065835218516	0.004	0.01	1	C3ORF14	control	-1.065835218516
0.2355976123252	-23.0931748320059	0.004	0.01	1	TRIM23	control	-23.0931748320059
0.2355976123252	-1.065835218516	0.004	0.01	1	KDELC2	control	-1.065835218516
